X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
7.849382162094116211e-01;2.029241800308227539e+00;-8.578806184232234955e-03;2.175781250000000000e+00;1.330000000000000000e+02;3.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573319610880e+18
8.219903111457824707e-01;2.169815301895141602e+00;-9.124789386987686157e-03;2.320312500000000000e+00;1.426000000000000000e+03;3.800000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.682415573319617792e+18
8.038845062255859375e-01;2.168258190155029297e+00;-9.069853462278842926e-03;2.312500000000000000e+00;4.136000000000000000e+03;3.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573319624960e+18
7.981110215187072754e-01;2.199501037597656250e+00;-9.153042919933795929e-03;2.339843750000000000e+00;4.225000000000000000e+03;4.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319631872e+18
7.880029678344726562e-01;2.219729661941528320e+00;-9.189918637275695801e-03;2.355468750000000000e+00;4.200000000000000000e+03;4.100000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573319638784e+18
7.879537940025329590e-01;2.269426584243774414e+00;-9.354165755212306976e-03;2.402343750000000000e+00;4.302000000000000000e+03;4.200000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319645696e+18
7.796706557273864746e-01;2.297050237655639648e+00;-9.433970786631107330e-03;2.425781250000000000e+00;4.327000000000000000e+03;4.300000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319652352e+18
7.818366885185241699e-01;2.358125686645507812e+00;-9.649918414652347565e-03;2.484375000000000000e+00;4.238000000000000000e+03;4.400000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319659264e+18
7.786414623260498047e-01;2.404389381408691406e+00;-9.804883971810340881e-03;2.527343750000000000e+00;4.212000000000000000e+03;4.500000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319666176e+18
7.760168910026550293e-01;2.454445123672485352e+00;-9.974580258131027222e-03;2.574218750000000000e+00;4.238000000000000000e+03;4.600000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.682415573319672832e+18
7.693287730216979980e-01;2.493364810943603516e+00;-1.010962110012769699e-02;2.609375000000000000e+00;4.340000000000000000e+03;4.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319679488e+18
7.564758062362670898e-01;2.513616085052490234e+00;-1.017296314239501953e-02;2.625000000000000000e+00;4.404000000000000000e+03;4.800000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319686144e+18
7.389582991600036621e-01;2.518821716308593750e+00;-1.017577201128005981e-02;2.625000000000000000e+00;4.455000000000000000e+03;4.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573319692544e+18
7.189605236053466797e-01;2.516478300094604492e+00;-1.014833431690931320e-02;2.617187500000000000e+00;4.366000000000000000e+03;5.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319699456e+18
7.014240026473999023e-01;2.521422624588012695e+00;-1.015113480389118195e-02;2.617187500000000000e+00;4.455000000000000000e+03;5.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573319705856e+18
